"dataset","core_id","issues","message"
"cm.xpt","CORE-000018",7,"CMOCCUR is not populated when CMPRESP is equal to 'Y' and CMSTAT is not populated."
"vs.xpt","CORE-000248",6,"When VSTPTREF is not populated, then VSRFTDTC should also be not populated."
"ts.xpt","CORE-000147",6,"TSPARMCD value length is greater than 8 characters."
"tr.xpt","CORE-000200",6,"TRSTAT is not populated and TRDRVFL is not equal to 'Y', but TRORRES is not populated."
"tr.xpt","CORE-000199",6,"TRTEST value length is greater than 40 characters."
"suppqscg.xpt","CORE-000201",6,"USUBJID value is missing in the DM dataset."
"suppdmmmm.xpt","CORE-000337",6,"Multiple races are populated in SUPPDM but RACE in the DM dataset does not equal 'MULTIPLE'."
"suppdmdm.xpt","CORE-000337",6,"Multiple races are populated in SUPPDM but RACE in the DM dataset does not equal 'MULTIPLE'."
"qspg.xpt","CORE-000201",6,"USUBJID value is missing in the DM dataset."
"qspg.xpt","CORE-000168",6,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"qscg.xpt","CORE-000201",6,"USUBJID value is missing in the DM dataset."
"qscg.xpt","CORE-000168",6,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"pc.xpt","CORE-000248",6,"When PCTPTREF is not populated, then PCRFTDTC should also be not populated."
"ms.xpt","CORE-000201",6,"USUBJID value is missing in the DM dataset."
"ml.xpt","CORE-000248",6,"When MLTPTREF is not populated, then MLRFTDTC should also be not populated."
"mi.xpt","CORE-000201",6,"USUBJID value is missing in the DM dataset."
"ie.xpt","CORE-000001",6,"IECAT equals 'INCLUSION', but IEORRES is not equal to 'N'."
"ds.xpt","CORE-000138",6,"DSSTDY is populated but either DSSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"dm.xpt","CORE-000189",6,"AGEU must be populated when AGE is populated."
"aprelsub.xpt","CORE-000550",6,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"aplbs.xpt","CORE-000550",6,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"aplbef.xpt","CORE-000550",6,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"zb.xpt","CORE-000200",5,"ZBSTAT is not populated and ZBDRVFL is not equal to 'Y', but ZBORRES is not populated."
"zb.xpt","CORE-000083",5,"ZBORRES must be populated when ZBLOBXFL = 'Y' and either ZBDRVFL is not present in dataset or is not populated."
"ts.xpt","CORE-000582",5,"TSVALn must be populated when TSVAL(n+1) is populated."
"ts.xpt","CORE-000294",5,"TSVAL for TSPARMCD = 'AGEMAX' is populated but value is not ISO 8601 format."
"ts.xpt","CORE-000153",5,"TSVCDREF is not populated when TSVCDVER is populated."
"te.xpt","CORE-000143",5,"ETCD value length is greater than 8 characters."
"sv.xpt","CORE-000039",5,"VISITNUM value for planned visit does not match any VISITNUM value in the TV dataset."
"sv.xpt","CORE-000037",5,"SVPRESP must be 'Y' or null."
"se.xpt","CORE-000356",5,"Required variable has a missing value."
"relrec.xpt","CORE-000201",5,"USUBJID value is missing in the DM dataset."
"lb1.xpt","CORE-002039",5,"LBENDTC is populated, but LBDTC is not populated."
"ie.xpt","CORE-000025",5,"IESTRESC is not equal to IEORRES."
"ho.xpt","CORE-000085",5,"HOSTTPT is completed, but HOSTRTPT is not completed."
"dm1.xpt","CORE-000239",5,"RFXSTDTC does not equal the earliest value of EXSTDTC in the EX dataset."
"dm1.xpt","CORE-000238",5,"RFXENDTC does not equal the latest value of EXSTDTC or EXENDTC in the EX dataset."
"co.xpt","CORE-000168",5,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"ae.xpt","CORE-000550",5,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"ta.xpt","CORE-000534",4,"TAETORD must be an integer."
"sv.xpt","CORE-000550",4,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"sv.xpt","CORE-000036",4,"VISIT value for planned visit does not match any VISIT value in the TV dataset."
"ss.xpt","CORE-000140",4,"VISITNUM does not match any of the VISITNUM values in the TV dataset but VISITDY is populated."
"sm.xpt","CORE-000139",4,"SMENDY is populated but either SMENDTC or RFSTDTC in the DM dataset do not contain complete values in the date portion."
"sm.xpt","CORE-000138",4,"SMSTDY is populated but either SMSTDTC or RFSTDTC in the DM dataset does not contain a complete date value."
"se.xpt","CORE-000143",4,"ETCD value length is greater than 8 characters."
"se.xpt","CORE-000095",4,"SEUPDES is populated but ETCD is not equal to 'UNPLAN'."
"relsub.xpt","CORE-000232",4,"When RSUBJID is populated, RSUBJID cannot be equal to POOLID."
"relrec.xpt","CORE-000136",4,"IDVARVAL and USUBJID are not completed, but IDVAR is populated with SEQ."
"pr.xpt","CORE-000085",4,"PRSTTPT is completed, but PRSTRTPT is not completed."
"mh.xpt","CORE-000260",4,"MHPRESP does not equal 'Y' or is not empty."
"lb.xpt","CORE-000550",4,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"lb.xpt","CORE-000248",4,"When LBTPTREF is not populated, then LBRFTDTC should also be not populated."
"ie.xpt","CORE-000011",4,"IEORRES is not equal to 'Y', but IECAT is equal to 'EXCLUSION'."
"ec.xpt","CORE-002055",4,"Negative value of Study Day variable."
"dm2.xpt","CORE-002053",4,"RFCENDTC is populated, but RFCSTDTC is not populated."
"dm2.xpt","CORE-000239",4,"RFXSTDTC does not equal the earliest value of EXSTDTC in the EX dataset."
"dm2.xpt","CORE-000238",4,"RFXENDTC does not equal the latest value of EXSTDTC or EXENDTC in the EX dataset."
"dm1.xpt","CORE-002053",4,"RFCENDTC is populated, but RFCSTDTC is not populated."
"dm1.xpt","CORE-000748",4,"Subject is assigned to an arm code (randomized) but has no record in the EX dataset."
"dm.xpt","CORE-002036",4,"RFXENDTC is populated, but RFXSTDTC is not populated."
"dm.xpt","CORE-000088",4,"SETCD value length is greater than 8 characters."
"be.xpt","CORE-002049",4,"BEDY is greater than BESTDY."
"ag.xpt","CORE-000117",4,"AGPRESP is equal to 'Y' and AGOCCUR is not populated but AGSTAT is not equal to 'NOT DONE'."
"ag.xpt","CORE-000100",4,"AGTRTV is not populated when AGVAMT is populated."
"ag.xpt","CORE-000089",4,"AGVAMT must not be populated when AGTRTV is not populated."
"ag.xpt","CORE-000018",4,"AGOCCUR is not populated when AGPRESP is equal to 'Y' and AGSTAT is not populated."
"ae.xpt","CORE-000106",4,"AEENRTPT is not populated when AEENTPT is populated."
"vs.xpt","CORE-000028",3,"VSTPTREF is not populated but VSELTM is populated."
"ts.xpt","CORE-000148",3,"TSPARM value length is greater than 40 characters."
"supplb.xpt","CORE-000201",3,"USUBJID value is missing in the DM dataset."
"suppec.xpt","CORE-000135",3,"IDVAR is populated but IDVARVAL is not populated."
"suppae.xpt","CORE-000222",3,"QLABEL value length is greater than 40 characters."
"su.xpt","CORE-000260",3,"SUPRESP does not equal 'Y' or is not empty."
"se.xpt","CORE-000527",3,"SEENDTC is not populated when element is not the last."
"se.xpt","CORE-000002",3,"SESTDTC is not populated."
"relsub.xpt","CORE-000356",3,"Required variable has a missing value."
"pe.xpt","CORE-000200",3,"PESTAT is not populated and PEDRVFL is not equal to 'Y', but PEORRES is not populated."
"pe.xpt","CORE-000082",3,"PESTRESC must be null when PEORRES is null."
"pc.xpt","CORE-000028",3,"PCTPTREF is not populated but PCELTM is populated."
"ml.xpt","CORE-000028",3,"MLTPTREF is not populated but MLELTM is populated."
"mh.xpt","CORE-000117",3,"MHPRESP is equal to 'Y' and MHOCCUR is not populated but MHSTAT is not equal to 'NOT DONE'."
"lb2.xpt","CORE-002054",3,"LBENINT is populated, but LBSTINT is not populated."
"lb.xpt","CORE-000295",3,"LBSTREFN is not populated when LBSTREFC is populated."
"lb.xpt","CORE-000237",3,"LBSCAT is populated but is equal to LBCAT."
"lb.xpt","CORE-000021",3,"LBSTRESC should be populated when either LBORRES is provided or LBDRVFL = 'Y'."
"ho.xpt","CORE-000260",3,"HOPRESP does not equal 'Y' or is not empty."
"ex.xpt","CORE-000005",3,"EXDOSE should be 0 when EXTRT = PLACEBO."
"ds.xpt","CORE-000024",3,"DSBODSYS is not empty but DSBDSYCD is empty or not present in dataset."
"co.xpt","CORE-000550",3,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"ce.xpt","CORE-000085",3,"CESTTPT is completed, but CESTRTPT is not completed."
"zz.xpt","CORE-000550",2,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"zm.xpt","CORE-000550",2,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"zm.xpt","CORE-000376",2,"First 2 characters of prefixed variable within custom domain do not match the DOMAIN value."
"xc.xpt","CORE-000362",2,"XCSOCCD must be equal to XCBDSYCD when primary SOC is used for analysis."
"xc.xpt","CORE-000264",2,"XCBODSYS must be equal to XCSOC when primary SOC is used for analysis."
"vs.xpt","CORE-000356",2,"Required variable has a missing value."
"ts.xpt","CORE-000550",2,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"ts.xpt","CORE-000151",2,"TSVAL must be populated when TSVAL1 is populated."
"te.xpt","CORE-000356",2,"Required variable has a missing value."
"ta.xpt","CORE-000143",2,"ETCD value length is greater than 8 characters."
"suppqsswls.xpt","CORE-000201",2,"USUBJID value is missing in the DM dataset."
"suppqssw.xpt","CORE-000201",2,"USUBJID value is missing in the DM dataset."
"suppqscqi.xpt","CORE-000201",2,"USUBJID value is missing in the DM dataset."
"suppqscq.xpt","CORE-000201",2,"USUBJID value is missing in the DM dataset."
"supplb.xpt","CORE-000134",2,"RDOMAIN is not equal to 'DM' but IDVAR is not populated."
"suppdm.xpt","CORE-000222",2,"QLABEL value length is greater than 40 characters."
"suppapfamh.xpt","CORE-000134",2,"RDOMAIN is not equal to 'DM' but IDVAR is not populated."
"suppae.xpt","CORE-000134",2,"RDOMAIN is not equal to 'DM' but IDVAR is not populated."
"sqapfamh.xpt","CORE-000134",2,"RDOMAIN is not equal to 'DM' but IDVAR is not populated."
"sm.xpt","CORE-000356",2,"Required variable has a missing value."
"relsub.xpt","CORE-000231",2,"When RSUBJID is populated the value cannot be equal to USUBJID."
"qscgi2.xpt","CORE-000201",2,"USUBJID value is missing in the DM dataset."
"qscgi2.xpt","CORE-000168",2,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"qscgi.xpt","CORE-000201",2,"USUBJID value is missing in the DM dataset."
"qscgi.xpt","CORE-000168",2,"VISITNUM does not match any of the VISITNUM values in the SV dataset."
"pr.xpt","CORE-000260",2,"PRPRESP does not equal 'Y' or is not empty."
"pp.xpt","CORE-000356",2,"Required variable has a missing value."
"mb.xpt","CORE-000021",2,"MBSTRESC should be populated when either MBORRES is provided or MBDRVFL = 'Y'."
"lb2.xpt","CORE-002039",2,"LBENDTC is populated, but LBDTC is not populated."
"lb2.xpt","CORE-000106",2,"LBENRTPT is not populated when LBENTPT is populated."
"lb1.xpt","CORE-002054",2,"LBENINT is populated, but LBSTINT is not populated."
"lb1.xpt","CORE-000106",2,"LBENRTPT is not populated when LBENTPT is populated."
"lb.xpt","CORE-000271",2,"EPOCH value does not match any of the EPOCH values in the TA dataset."
"lb.xpt","CORE-000116",2,"LBSPCUFL must be null or equal to 'N'."
"ie.xpt","CORE-000356",2,"Required variable has a missing value."
"ex.xpt","CORE-002055",2,"Negative value of Study Day variable."
"ex.xpt","CORE-000271",2,"EPOCH value does not match any of the EPOCH values in the TA dataset."
"ds.xpt","CORE-000271",2,"EPOCH value does not match any of the EPOCH values in the TA dataset."
"ds.xpt","CORE-000033",2,"DSDECOD is not equal to 'COMPLETED' when DSTERM equals 'COMPLETED'."
"dm.xpt","CORE-000550",2,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"cm.xpt","CORE-002052",2,"CMCLAS is not a valid WHODrug dictionary medication class term."
"cm.xpt","CORE-000260",2,"CMPRESP does not equal 'Y' or is not empty."
"cm.xpt","CORE-000085",2,"CMSTTPT is completed, but CMSTRTPT is not completed."
"be.xpt","CORE-000260",2,"BEPRESP does not equal 'Y' or is not empty."
"ae.xpt","CORE-000248",2,"When AETPTREF is not populated, then AERFTDTC should also be not populated."
"ae.xpt","CORE-000237",2,"AESCAT is populated but is equal to AECAT."
"ae.xpt","CORE-000131",2,"AECONTRT is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000130",2,"AESMIE is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000126",2,"AESDTH is populated, but not equal to 'N' or 'Y'."
"zb.xpt","CORE-000550",1,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"zb.xpt","CORE-000376",1,"First 2 characters of prefixed variable within custom domain do not match the DOMAIN value."
"vs.xpt","CORE-000243",1,"VSREASEX must not be present."
"vs.xpt","CORE-000242",1,"VSEXCLFL must not be present."
"vs.xpt","CORE-000074",1,"VSIMPLBL must not be present."
"vs.xpt","CORE-000056",1,"VSREASEX must not be present."
"vs.xpt","CORE-000055",1,"VSEXCLFL must not be present."
"vs.xpt","CORE-000052",1,"VSIMPLBL must not be present."
"tx.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"tv.xpt","CORE-000157",1,"ARMCD value length is greater than 20 characters."
"tt.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"tt.xpt","CORE-000042",1,"TT dataset must not be present."
"tr.xpt","CORE-000078",1,"TRLAT must not be present."
"tr.xpt","CORE-000077",1,"TRDIR must not be present."
"tr.xpt","CORE-000076",1,"TRPORTOT must not be present."
"tr.xpt","CORE-000003",1,"TRLOC should not be present in TR dataset."
"tp.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"tp.xpt","CORE-000058",1,"RPHASE must not be present."
"tp.xpt","CORE-000043",1,"TP dataset must not be present."
"sv.xpt","CORE-000356",1,"Required variable has a missing value."
"suppqsswls.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppqsswls.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppqsswls.xpt","CORE-000357",1,"Split dataset name length of SUPPQS dataset > 8."
"suppqsswls.xpt","CORE-000293",1,"Length of SUPPSUPPQS dataset name is greater than 8 characters."
"suppqssw.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppqssw.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppqscqi.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppqscqi.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppqscqi.xpt","CORE-000357",1,"Split dataset name length of SUPPQS dataset > 8."
"suppqscqi.xpt","CORE-000293",1,"Length of SUPPSUPPQS dataset name is greater than 8 characters."
"suppqscq.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppqscq.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppqscg.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppqscg.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"supplb.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"supplb.xpt","CORE-000356",1,"Required variable has a missing value."
"suppec.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppec.xpt","CORE-000356",1,"Required variable has a missing value."
"suppdmmmm.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppdmmmm.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppdmmmm.xpt","CORE-000357",1,"Split dataset name length of SUPPDM dataset > 8."
"suppdmmmm.xpt","CORE-000293",1,"Length of SUPPSUPPDM dataset name is greater than 8 characters."
"suppdmdm.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppdmdm.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppdm.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppapfamh.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"suppapfamh.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"suppapfamh.xpt","CORE-000357",1,"Split dataset name length of SUPPAP dataset > 8."
"suppapfamh.xpt","CORE-000293",1,"Length of SUPPSUPPAP dataset name is greater than 8 characters."
"suppae.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"ss.xpt","CORE-000201",1,"USUBJID value is missing in the DM dataset."
"sqapfamh.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"sqapfamh.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"sj.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"sj.xpt","CORE-000058",1,"RPHASE must not be present."
"sj.xpt","CORE-000044",1,"SJ dataset must not be present."
"qspg.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"qscgi2.xpt","CORE-000510",1,"Split dataset name is not 3 or 4 characters in length."
"qscgi.xpt","CORE-000510",1,"Split dataset name is not 3 or 4 characters in length."
"qscg.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"pp.xpt","CORE-000200",1,"PPSTAT is not populated and PPDRVFL is not equal to 'Y', but PPORRES is not populated."
"pp.xpt","CORE-000165",1,"PPTPTREF is not present in dataset when PPRFTDTC is present in dataset."
"pc.xpt","CORE-000355",1,"Required variable is missing from the dataset."
"ml.xpt","CORE-000260",1,"MLPRESP does not equal 'Y' or is not empty."
"mi.xpt","CORE-000355",1,"Required variable is missing from the dataset."
"mi.xpt","CORE-000113",1,"MICONCU must not be present."
"mi.xpt","CORE-000112",1,"MICONC must not be present."
"mi.xpt","CORE-000111",1,"MIAGENT must not be present."
"mh.xpt","CORE-000356",1,"Required variable has a missing value."
"mh.xpt","CORE-000018",1,"MHOCCUR is not populated when MHPRESP is equal to 'Y' and MHSTAT is not populated."
"lb2.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"lb1.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"lb.xpt","CORE-000247",1,"LBRESLOC must not be present."
"lb.xpt","CORE-000246",1,"LBNOMLBL must not be present."
"lb.xpt","CORE-000245",1,"LBNOMDY must not be present."
"lb.xpt","CORE-000244",1,"LBDETECT must not be present."
"lb.xpt","CORE-000243",1,"LBREASEX must not be present."
"lb.xpt","CORE-000242",1,"LBEXCLFL must not be present."
"lb.xpt","CORE-000226",1,"LBDTHREL must not be present."
"lb.xpt","CORE-000140",1,"VISITNUM does not match any of the VISITNUM values in the TV dataset but VISITDY is populated."
"lb.xpt","CORE-000074",1,"LBIMPLBL must not be present."
"lb.xpt","CORE-000067",1,"LBDETECT must not be present."
"lb.xpt","CORE-000066",1,"LBRPENDY must not be present."
"lb.xpt","CORE-000065",1,"LBRPSTDY must not be present."
"lb.xpt","CORE-000064",1,"LBRPDY must not be present."
"lb.xpt","CORE-000061",1,"RPPLENDY must not be present."
"lb.xpt","CORE-000060",1,"RPPLSTDY must not be present."
"lb.xpt","CORE-000059",1,"RPPLDY must not be present."
"lb.xpt","CORE-000058",1,"RPHASE must not be present."
"lb.xpt","CORE-000057",1,"FETUSID must not be present."
"lb.xpt","CORE-000056",1,"LBREASEX must not be present."
"lb.xpt","CORE-000055",1,"LBEXCLFL must not be present."
"lb.xpt","CORE-000054",1,"LBDTHREL must not be present."
"lb.xpt","CORE-000052",1,"LBIMPLBL must not be present."
"lb.xpt","CORE-000051",1,"LBRSTMOD must not be present."
"lb.xpt","CORE-000050",1,"LBRSTIND must not be present."
"lb.xpt","CORE-000049",1,"LBUSCHFL must not be present."
"ie.xpt","CORE-000228",1,"IETESTCD value does not match any IETESTCD value in the TI dataset."
"ie.xpt","CORE-000200",1,"IESTAT is not populated and IEDRVFL is not equal to 'Y', but IEORRES is not populated."
"ie.xpt","CORE-000021",1,"IESTRESC should be populated when either IEORRES is provided or IEDRVFL = 'Y'."
"gf.xpt","CORE-000355",1,"Required variable is missing from the dataset."
"ft.xpt","CORE-000226",1,"FTDTHREL must not be present."
"ft.xpt","CORE-000083",1,"FTORRES must be populated when FTLOBXFL = 'Y' and either FTDRVFL is not present in dataset or is not populated."
"ft.xpt","CORE-000054",1,"FTDTHREL must not be present."
"ex.xpt","CORE-000048",1,"EXMETHOD must not be present."
"eg.xpt","CORE-000355",1,"Required variable is missing from the dataset."
"dv.xpt","CORE-000356",1,"Required variable has a missing value."
"dm2.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"dm1.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"dm.xpt","CORE-000176",1,"SBSTRAIN must not be present."
"dm.xpt","CORE-000175",1,"STRAIN must not be present."
"dm.xpt","CORE-000174",1,"SPECIES must not be present."
"dm.xpt","CORE-000071",1,"SBSTRAIN must not be present."
"dm.xpt","CORE-000070",1,"STRAIN must not be present."
"dm.xpt","CORE-000069",1,"SPECIES must not be present."
"dm.xpt","CORE-000068",1,"AGETXT must not be present."
"dd.xpt","CORE-000201",1,"USUBJID value is missing in the DM dataset."
"co.xpt","CORE-000187",1,"CODTC must be null when IDVAR is not null."
"cm.xpt","CORE-000550",1,"Variable is not listed in the Model List of Allowed Variables for the Observation Class and should be in supplemental qualifiers."
"cm.xpt","CORE-000246",1,"CMNOMLBL must not be present."
"cm.xpt","CORE-000245",1,"CMNOMDY must not be present."
"cm.xpt","CORE-000244",1,"CMDETECT must not be present."
"cm.xpt","CORE-000067",1,"CMDETECT must not be present."
"cm.xpt","CORE-000066",1,"CMRPENDY must not be present."
"cm.xpt","CORE-000065",1,"CMRPSTDY must not be present."
"cm.xpt","CORE-000064",1,"CMRPDY must not be present."
"cm.xpt","CORE-000061",1,"RPPLENDY must not be present."
"cm.xpt","CORE-000060",1,"RPPLSTDY must not be present."
"cm.xpt","CORE-000059",1,"RPPLDY must not be present."
"cm.xpt","CORE-000058",1,"RPHASE must not be present."
"cm.xpt","CORE-000057",1,"FETUSID must not be present."
"cm.xpt","CORE-000051",1,"CMRSTMOD must not be present."
"cm.xpt","CORE-000050",1,"CMRSTIND must not be present."
"cm.xpt","CORE-000048",1,"CMMETHOD must not be present."
"ce.xpt","CORE-000356",1,"Required variable has a missing value."
"ce.xpt","CORE-000260",1,"CEPRESP does not equal 'Y' or is not empty."
"aprelsub.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"aprelsub.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"aprelsub.xpt","CORE-000234",1,"RSUBJID must not be populated when RDEVID is populated."
"apmhe.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"apmh.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"apmh.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"aplbs.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"aplbef.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"aplb.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"aplb.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"aplb.xpt","CORE-000234",1,"RSUBJID must not be populated when RDEVID is populated."
"apdrug1ex.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"apdrug1ex.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"apdrug1ex.xpt","CORE-000357",1,"Split dataset name length of AP dataset > 8."
"apdm.xpt","CORE-002040",1,"Custom domain is not based on one of the observation classes."
"apdm.xpt","CORE-000778",1,"Split dataset name length of Associated Persons non-supplemental qualifier dataset is shorter than or equal to 4 or greater than 6."
"ag.xpt","CORE-000260",1,"AGPRESP does not equal 'Y' or is not empty."
"ae.xpt","CORE-000271",1,"EPOCH value does not match any of the EPOCH values in the TA dataset."
"ae.xpt","CORE-000246",1,"AENOMLBL must not be present."
"ae.xpt","CORE-000245",1,"AENOMDY must not be present."
"ae.xpt","CORE-000244",1,"AEDETECT must not be present."
"ae.xpt","CORE-000129",1,"AESOD is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000128",1,"AESLIFE is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000127",1,"AESHOSP is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000125",1,"AESDISAB is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000124",1,"AESCONG is populated, but not equal to 'Y' or 'N'."
"ae.xpt","CORE-000123",1,"AESCAN is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000114",1,"AEEVDTYP must not be present."
"ae.xpt","CORE-000087",1,"AESER is populated, but not equal to 'N' or 'Y'."
"ae.xpt","CORE-000075",1,"AEREASND must not be present."
"ae.xpt","CORE-000067",1,"AEDETECT must not be present."
"ae.xpt","CORE-000066",1,"AERPENDY must not be present."
"ae.xpt","CORE-000065",1,"AERPSTDY must not be present."
"ae.xpt","CORE-000064",1,"AERPDY must not be present."
"ae.xpt","CORE-000061",1,"RPPLENDY must not be present."
"ae.xpt","CORE-000060",1,"RPPLSTDY must not be present."
"ae.xpt","CORE-000059",1,"RPPLDY must not be present."
"ae.xpt","CORE-000058",1,"RPHASE must not be present."
"ae.xpt","CORE-000057",1,"FETUSID must not be present."
"ae.xpt","CORE-000049",1,"AEUSCHFL must not be present."
"ae.xpt","CORE-000023",1,"AETOX should not be present when AETOXGR is not present."
"ae.xpt","CORE-000012",1,"AEOCCUR should not be present in AE dataset."
